Browser,OS,screenH,workerid,screenW
Chrome,Windows,1080,0,1920
Chrome,Windows,1080,1,1920
Chrome,Windows,1080,2,1920
Chrome,Windows,912,3,1368
Firefox,Windows,1608,4,2859
Chrome,Windows,768,5,1366
Chrome,Windows,864,6,1536
Firefox,Windows,792,7,1408
Chrome,Windows,768,8,1366
Chrome,Mac,1200,9,1920
Chrome,Windows,768,10,1366
Chrome,Windows,1080,11,1920
Chrome,Windows,768,12,1024
Chrome,Windows,768,13,1366
Chrome,Windows,768,14,1280
Chrome,Linux,1080,15,1920
Chrome,Windows,1080,16,1920
Chrome,Windows,864,17,1536
Chrome,Windows,864,18,1536
Chrome,Mac,800,19,1280
Chrome,Windows,1080,20,1920
Chrome,Windows,1080,21,1920
Chrome,Windows,1080,22,1920
Chrome,Windows,615,23,1093
Chrome,Windows,900,24,1600
Chrome,Windows,1080,25,1920
Chrome,Windows,900,26,1600
Chrome,Windows,768,27,1366
Chrome,Windows,768,28,1366
Chrome,Windows,1080,29,1920
Chrome,Windows,1080,30,1920
Chrome,Mac,1152,31,2048
Chrome,Windows,768,32,1366
Chrome,Windows,1440,33,2560
Chrome,Windows,1080,34,1920
Chrome,Windows,768,35,1366
Chrome,Windows,900,36,1600
Chrome,Windows,1080,37,1920
Chrome,Windows,720,38,1280
Chrome,Mac,1080,39,1920
Chrome,Windows,768,40,1366
Chrome,Windows,1440,41,2560
Chrome,Windows,1080,42,1920
Chrome,Windows,1080,43,1920
Chrome,Windows,1080,44,1920
Chrome,Windows,1080,45,1920
Chrome,Linux,768,46,1366
Chrome,Windows,1080,47,1920
Firefox,Windows,825,48,1467
Chrome,Mac,1080,49,1920
Chrome,Mac,900,50,1440
Chrome,Windows,1080,51,1920
Chrome,Windows,864,52,1536
Chrome,Windows,1080,53,1920
Chrome,Windows,900,54,1600
Chrome,Windows,768,55,1366
Chrome,Windows,768,56,1366
Chrome,Linux,570,57,320
Chrome,Windows,900,58,1600
Chrome,Windows,768,59,1366
Chrome,Windows,1080,60,1920
Chrome,Windows,768,61,1366
Chrome,Windows,1080,62,1920
Chrome,Windows,768,63,1366
Chrome,Windows,1080,64,1920
Chrome,Windows,1080,65,1920
Chrome,Windows,1080,66,1920
Chrome,Windows,768,67,1366
Chrome,Windows,768,68,1360
Chrome,Windows,1080,69,1920
Chrome,Windows,900,70,1600
Chrome,Mac,800,71,1280
Chrome,Windows,768,72,1366
Chrome,Windows,912,73,1368
Chrome,Windows,1080,74,1920
Chrome,Windows,1080,75,1920
Chrome,Windows,1080,76,1920
Chrome,Windows,1080,77,1920
Chrome,Windows,2160,78,3840
Chrome,Windows,1080,79,1920
Chrome,Windows,979,80,1739
Chrome,Windows,1080,81,1920
Chrome,Windows,960,82,1707
Chrome,Windows,900,83,1600
Chrome,Linux,850,84,1280
Chrome,Windows,768,85,1366
Chrome,Windows,768,86,1366
Chrome,Linux,1080,87,1920
Chrome,Windows,768,88,1366
Chrome,Windows,900,89,1440
Chrome,Windows,768,90,1366
Chrome,Linux,864,91,1536
Chrome,Mac,900,92,1440
Firefox,Windows,1080,93,1920
Chrome,Linux,768,94,1366
Chrome,Windows,768,95,1366
Chrome,Mac,900,96,1440
Chrome,Mac,900,97,1440
Chrome,Windows,768,98,1366
Chrome,Windows,768,99,1366
Chrome,Windows,768,100,1366
Chrome,Windows,1080,101,1920
Chrome,Windows,1080,102,1920
Firefox,Windows,900,103,1600
Chrome,Linux,853,104,1517
Chrome,Windows,864,105,1536
Chrome,Windows,768,106,1366
Chrome,Windows,864,107,1536
Chrome,Windows,768,108,1366
Chrome,Windows,768,109,1366
Chrome,Windows,840,110,1344
Chrome,Windows,1080,111,1920
Chrome,Windows,900,112,1600
Chrome,Windows,1080,113,1920
Chrome,Linux,740,114,360
Chrome,Mac,900,115,1440
Chrome,Windows,900,116,1600
Chrome,Windows,1080,117,1920
Chrome,Windows,864,118,1536
Firefox,Windows,990,119,1760
Chrome,Windows,768,120,1366
Chrome,Windows,1080,121,1920
Chrome,Linux,768,122,1366
Chrome,Windows,1080,123,1920
Chrome,Windows,864,124,1536
Chrome,Windows,768,125,1366
Chrome,Windows,720,126,1280
Chrome,Windows,900,127,1600
Chrome,Windows,768,128,1366
Firefox,Mac,900,129,1440
Chrome,Windows,1080,130,1920
Chrome,Windows,1080,131,1920
Chrome,Windows,1080,132,1920
Chrome,Windows,720,133,1280
Chrome,Windows,864,134,1536
Chrome,Windows,864,135,1536
Chrome,Windows,1080,136,2560
Firefox,Windows,900,137,1600
Firefox,Linux,1080,138,1920
